Date,Open,High,Low,Close,Adj Close,Volume
10-07-2013,121.150002,122.349998,120.589996,120.949997,120.949997,14697100
11-07-2013,124.260002,124.360001,123.470001,124.239998,124.239998,11279400
12-07-2013,123.519997,124.300003,123.32,124.129997,124.129997,6583800
15-07-2013,124.080002,124.389999,123.839996,124.18,124.18,4133200
16-07-2013,124.760002,125.209999,124.330002,124.889999,124.889999,5577300
17-07-2013,125.040001,125.699997,122.730003,123.32,123.32,10882400
18-07-2013,124.110001,124.519997,123.779999,124.010002,124.010002,6150900
19-07-2013,124.889999,125.419998,124.650002,125.110001,125.110001,5767800
22-07-2013,127.650002,129.460007,127.589996,128.839996,128.839996,10851900
23-07-2013,128.699997,130.139999,128.350006,129.710007,129.710007,8820100
24-07-2013,129.169998,129.399994,126.870003,127.480003,127.480003,9979100
25-07-2013,127.699997,128.869995,127.639999,128.669998,128.669998,4702400
26-07-2013,128.110001,128.970001,126.779999,128.779999,128.779999,6148500
29-07-2013,128.449997,128.779999,128.25,128.470001,128.470001,3554100
30-07-2013,127.949997,128.309998,127.220001,128.119995,128.119995,4487700
01-08-2013,127.839996,127.889999,126.330002,126.610001,126.610001,10564300
02-08-2013,126.739998,127.25,126.32,126.360001,126.360001,6466300
